Авторы,Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Спонсоры,Издатель,Название конференции,Дата конференции,Место проведения конференции,Код конференции,ISSN,ISBN,CODEN,Язык оригинального документа,Сокращенное название источника,Тип документа,Источник,EID
"Sidorova M.A.","Daimonion as a metaphor for acting and thinking Who in the philosophy of Hannah Arendt",2015,"Voprosy Filosofii",,"12",,"166","174",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029874894&partnerID=40&md5=cb17eb516139e476e733ad7e4bd95993","Faculty of Humanities, National Research University Higher School of Economics, Russian Federation","Sidorova, M.A., Faculty of Humanities, National Research University Higher School of Economics, Russian Federation","Hannah Arendt refers to the notions of ancient Greek philosophy for the clarification her own concepts of action and thinking. These in particular are the terms ""daimon"", ""daimonion"" associated with thought and personality of Socrates. This article considers the role of metaphorical using of these categories in such Arendt's texts as ""Vita activa, or about the activities of life"", ""Life of the Mind"", ""Thinking and moral considerations"". How does the socratic daimon (daimonion) become a metaphor in Arendt's philosophy? What functions does his image play in Arendt's concepts of action and thinking? What things do separate and unite the context of the metaphorical application of these terms in her different texts? The answers on these questions form the content of the article.","""Two-in-one"" conscience; Daimon; Daimonionaction; H. Arendt; Socrates; The common being; Thinking",,,"Izdatel'stvo Nauka",,,,,00428744,,,"Russian","Vopsory Filosoffi",Article,Scopus,2-s2.0-85029874894
"Gromov E.M., Malomed B.A.","Solitons in a forced nonlinear Schrödinger equation with the pseudo-Raman effect",2015,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","92","6", 062926,"","",,2,10.1103/PhysRevE.92.062926,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954467485&doi=10.1103%2fPhysRevE.92.062926&partnerID=40&md5=80b3fcd755beaabdfa46f5b5d43a4c83","National Research University, Higher School of Economics, Nizhny, Novgorod, Russian Federation; Department of Physical Electronics, School of Electrical Engineering, Tel Aviv University, Tel Aviv, Israel","Gromov, E.M., National Research University, Higher School of Economics, Nizhny, Novgorod, Russian Federation; Malomed, B.A., Department of Physical Electronics, School of Electrical Engineering, Tel Aviv University, Tel Aviv, Israel","The dynamics of solitons is considered in the framework of an extended nonlinear Schrödinger equation (NLSE), which is derived from a Zakharov-type model for wind-driven high-frequency surface waves in the ocean, coupled to damped low-frequency internal waves. The drive gives rise to a convective (but not absolute) instability in the system. The resulting NLSE includes a pseudo-stimulated-Raman-scattering (pseudo-SRS) term, which is a spatial-domain counterpart of the SRS term, a well-known ingredient of the temporal-domain NLSE in optics. Analysis of the field-momentum balance and direct simulations demonstrates that wave-number downshift by the pseudo-SRS may be compensated by the upshift induced by the wind traction, thus maintaining robust bright solitons in both stationary and oscillatory forms; in particular, they are not destroyed by the underlying convective instability. Analytical soliton solutions are found in an approximate form and are verified by numerical simulations. Solutions for soliton pairs are obtained in the numerical form. © 2015 American Physical Society.",,"Nonlinear equations; Solitons; Surface waves; Analytical solitons; Bright solitons; Convective instabilities; Dinger equation; Direct simulation; Dynamics of solitons; High-frequency surfaces; Spatial domains; Stimulated Raman scattering",,"American Physical Society",,,,,15393755,,PLEEE,"English","Phys. Rev. E Stat. Nonlinear Soft Matter Phys.",Article,Scopus,2-s2.0-84954467485
"Fernandez M., Egorova E., Kabatiansky G.","Binary fingerprinting codes - Can we prove that someone is guilty?!",2015,"2015 IEEE International Workshop on Information Forensics and Security, WIFS 2015 - Proceedings",,, 7368558,"","",,,10.1109/WIFS.2015.7368558,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964762333&doi=10.1109%2fWIFS.2015.7368558&partnerID=40&md5=637256fea718f1803ccf46f78e7c793b","Departament d'Enginyeria Telemàtica, Universitat Politècnica de Catalunya, Barcelona, Spain; Higher School of Economics, Moscow, Russian Federation; Institute for Information Transmission Problems, RAS Moscow, Russian Federation","Fernandez, M., Departament d'Enginyeria Telemàtica, Universitat Politècnica de Catalunya, Barcelona, Spain; Egorova, E., Higher School of Economics, Moscow, Russian Federation; Kabatiansky, G., Institute for Information Transmission Problems, RAS Moscow, Russian Federation","The Identifiable Parent Property guarantees, with probability 1, the identification of at least one of the traitors by the corresponding traitor tracing schemes, or, by IPP-codes. Unfortunately, for the case of binary codes the IPP property does not hold even in the case of only two traitors. A recent work has considered a natural generalization of IPP-codes for the binary case, where the identifiable parent property should hold with probability almost 1. It has been shown that almost t-IPP codes of nonvanishing rate exist for the case t = 2. Surprisingly enough, collusion secure digital fingerprinting codes do not automatically possess this almost IPP property. In practice, this means that for a given forged fingerprint, say z, a user identified as guilty by the tracing algorithm can deny this claim since he will be able to present a coalition of users that can create the same z, but he does not belong to that coalition. In this paper, we study the case of t-almost IPP codes for t > 2. © 2015 IEEE.",,"Bins; Compensation (personnel); Digital fingerprinting; Fingerprinting code; Natural generalization; Tracing algorithm; Traitor tracing schemes; Codes (symbols)","Green Bit;Mitsubishi Electric;Technicolor;Telecom;TIM","Institute of Electrical and Electronics Engineers Inc.","IEEE International Workshop on Information Forensics and Security, WIFS 2015","16 November 2015 through 19 November 2015",,118936,,9781467368025,,"English","IEEE Int. Workshop Inf. Forensics Secur., WIFS - Proc.",Conference Paper,Scopus,2-s2.0-84964762333
"Dasgupta P.S., Maskin E.S.","Debreu's social equilibrium existence theorem",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","52",,"15769","15770",,1,10.1073/pnas.1522640113,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952684074&doi=10.1073%2fpnas.1522640113&partnerID=40&md5=3c215b5d638a5469cab4b295da98e9fc","Faculty of Economics, Cambridge University, Cambridge, United Kingdom; New College of the Humanities, London, United Kingdom; Department of Economics, Harvard University, Cambridge, MA, United States; Higher School of Economics, Moscow, Russian Federation","Dasgupta, P.S., Faculty of Economics, Cambridge University, Cambridge, United Kingdom, New College of the Humanities, London, United Kingdom; Maskin, E.S., Department of Economics, Harvard University, Cambridge, MA, United States, Higher School of Economics, Moscow, Russian Federation",[краткое описание не найдено],,"automobile industry; budget; consumer; economics; employer; game; Note; prediction and forecasting; priority journal; social aspect",,"National Academy of Sciences",,,,,00278424,,PNASA,"English","Proc. Natl. Acad. Sci. U. S. A.",Note,Scopus,2-s2.0-84952684074
"Polukhina E., Strelnikova A.","Exploring the Russian online gift-exchange communities: The results of nethnographic approach",2015,"Qualitative Report","20","12", 10,"2041","2049",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951281008&partnerID=40&md5=328ed748798eb8b016a364dd0dffccac","National Research University, Higher School of Economics, Moscow, Russian Federation","Polukhina, E., National Research University, Higher School of Economics, Moscow, Russian Federation; Strelnikova, A., National Research University, Higher School of Economics, Moscow, Russian Federation","This paper reports on a two-week nethnographic (online) observation of four online gift-exchange communities – virtual platforms, where participants conduct barter exchange of different daily objects such as books, children's products, furniture, home ware and others. These communities as case of informal economy initially do not have formal attributed rules. It is essential to find out (1) which rules and mechanisms exist in this type of economy; (2) what motivates people who are not acquainted with another to exchange gifts; and (3) understand the way this community exists. The conclusion is drawn that social capital is the basic engine of investigated communities. The social capital accumulated by users increases the community commitment and cohesion by interpreting gifts as a set of resources to distribute fairly. The giving, the receiving and the exchanging are forms of communication that cause further communication and interworking outside of giftgiving situations. These gift-exchange communities are mainly based on the communication and consumption solidarity among individuals. © Elizaveta Polukhina, Anna Strelnikova, and Nova Southeastern University.","Commodity; Consumption; Cultural studies; Gift-exchange; Mixed of online and offline methods; Mobility of domestic items; Nethnography; Online communities; Social solidarity",,,"Nova Southeastern University",,,,,10520147,,,"English","Qual. Rep.",Article,Scopus,2-s2.0-84951281008
"Petrosyants K.O., Kozhukhov M.V.","SiGe HBT TCAD simulation taking into account impact of proton radiation",2015,"Proceedings of the European Conference on Radiation and its Effects on Components and Systems, RADECS","2015-December",, 7365666,"","",,1,10.1109/RADECS.2015.7365666,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973358758&doi=10.1109%2fRADECS.2015.7365666&partnerID=40&md5=3f50942ae8a18db98f50eab8c182a155","National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation","Petrosyants, K.O., National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation; Kozhukhov, M.V., National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation","Performance degradation of SiGe HBT after proton radiation impact is investigated using Synopsys Sentaurus tool. A new model to account for the impact of proton irradiation on physical parameters (τ, S0, Nit) is included in the program. The method to account for the impact of proton radiation is based on additivity of the ionization and displacement effects. Comparison of simulated and experimental characteristics of SiGe HBT after subjection to proton fluences up to 5•1013 p/cm&sup2; shows the 10-20% error. © 2015 IEEE.","Displacement damage; Ionization damage; Proton radiation; Radiation effects; SiGe HBT; TCAD simulation","Electronic design automation; Heterojunction bipolar transistors; Ionization; Proton irradiation; Radiation; Silicon alloys; Displacement damages; Ionization damage; Proton radiations; SiGe HBTs; TCAD simulation; Radiation effects","China Aerospace Components Engineering Center (CACEC);et al.;Joint Institute for Nuclear Research (JINR);Research Institute of Scientific Instruments (RISI);Specialized Electronic Systems (SPELS);United Rocket and Space Corporation - Institute of Space Device Engineering (URSC - ISDE)","Institute of Electrical and Electronics Engineers Inc.","15th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2015","14 September 2015 through 18 September 2015",,118940,,9781509002313,,"English","Eur Conf Rad Effects Compon Syst",Conference Paper,Scopus,2-s2.0-84973358758
"Petrosyants K.O., Kharitonov I.A., Sambursky L.M., Mokeev A.S.","Rad-hard versions of SPICE MOSFET models for effective simulation of SOI/SOS CMOS circuits taking into account radiation effects",2015,"Proceedings of the European Conference on Radiation and its Effects on Components and Systems, RADECS","2015-December",, 7365651,"","",,4,10.1109/RADECS.2015.7365651,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973345812&doi=10.1109%2fRADECS.2015.7365651&partnerID=40&md5=8ae64fa3b75c0f806649bd5c62fc08df","National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation; Institute for Design Problems in Microelectronics, Russian Academy of Sciences, Moscow, Russian Federation","Petrosyants, K.O., National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation, Institute for Design Problems in Microelectronics, Russian Academy of Sciences, Moscow, Russian Federation; Kharitonov, I.A., National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation; Sambursky, L.M., National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation, Institute for Design Problems in Microelectronics, Russian Academy of Sciences, Moscow, Russian Federation; Mokeev, A.S., National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation","SPICE modeling of SOI/SOS MOSFETs with account for static (total dose) and dynamic (heavy ions and transient ionizing radiation) radiation-induced effects including SPICE models, model parameter extraction and applications for circuit simulation, is described for radiation hard Silicon-on-Insulator/Silicon-on-Sapphire technologies. © 2015 IEEE.",,"Circuit simulation; CMOS integrated circuits; Heavy ions; Ionizing radiation; MOSFET devices; Parameter extraction; Radiation; Reconfigurable hardware; Silicon on insulator technology; SPICE; CMOS circuits; Model-parameter extraction; Mosfet model; Radiation hard; Radiation-induced effects; Spice model; SPICE modeling; Total dose; Radiation effects","China Aerospace Components Engineering Center (CACEC);et al.;Joint Institute for Nuclear Research (JINR);Research Institute of Scientific Instruments (RISI);Specialized Electronic Systems (SPELS);United Rocket and Space Corporation - Institute of Space Device Engineering (URSC - ISDE)","Institute of Electrical and Electronics Engineers Inc.","15th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2015","14 September 2015 through 18 September 2015",,118940,,9781509002313,,"English","Eur Conf Rad Effects Compon Syst",Conference Paper,Scopus,2-s2.0-84973345812
"Petrosyants K.O., Popov D.A.","TCAD simulation of total ionization dose response of 45nm high-K MOSFETs on bulk silicon and SOI substrate",2015,"Proceedings of the European Conference on Radiation and its Effects on Components and Systems, RADECS","2015-December",, 7365671,"","",,,10.1109/RADECS.2015.7365671,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973299587&doi=10.1109%2fRADECS.2015.7365671&partnerID=40&md5=16fff843ccd9cf88a4ad4f1617c4451f","National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation; Institute for Design Problems in Microelectronics of Russian Academy of Sciences, Moscow, Russian Federation","Petrosyants, K.O., National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation, Institute for Design Problems in Microelectronics of Russian Academy of Sciences, Moscow, Russian Federation; Popov, D.A., National Research University Higher School of Economics, Moscow Institute of Electronics and Mathematics, Moscow, Russian Federation","New semi-empirical model accounting for TID dependences of bulk, oxide, HfO2/Si interface trap densities, carrier mobilities, lifetime of device material was developed and introduced into TCAD tool. TID response of 45nm high-k MOSFETs on bulk and SOI substrate was simulated. © 2015 IEEE.","HIGH-K; MOSFET; TCAD; TID","Carrier mobility; Electronic design automation; Hafnium oxides; MOSFET devices; Radiation effects; Substrates; Bulk and SOI substrates; Device materials; High- k; Interface trap density; MOS-FET; Semi-empirical modeling; TCAD; Total ionization dose; Interfaces (materials)","China Aerospace Components Engineering Center (CACEC);et al.;Joint Institute for Nuclear Research (JINR);Research Institute of Scientific Instruments (RISI);Specialized Electronic Systems (SPELS);United Rocket and Space Corporation - Institute of Space Device Engineering (URSC - ISDE)","Institute of Electrical and Electronics Engineers Inc.","15th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2015","14 September 2015 through 18 September 2015",,118940,,9781509002313,,"English","Eur Conf Rad Effects Compon Syst",Conference Paper,Scopus,2-s2.0-84973299587
"Decrouez G., Amblard P.-O.","Crossing-tree partition functions",2015,"2015 23rd European Signal Processing Conference, EUSIPCO 2015",,, 7362535,"1008","1012",,,10.1109/EUSIPCO.2015.7362535,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963940208&doi=10.1109%2fEUSIPCO.2015.7362535&partnerID=40&md5=d7341665304a0ee55ec2ca8430c11543","National Research University, Higher School of Economics, Moscow, Russian Federation; GIPSAlab, CNRS UMR 5283, Université de Grenoble, Grenoble, France","Decrouez, G., National Research University, Higher School of Economics, Moscow, Russian Federation; Amblard, P.-O., GIPSAlab, CNRS UMR 5283, Université de Grenoble, Grenoble, France","A new multifractal formalism based on the crossing-tree for H-sssi processes was recently introduced [1, 2]. The crossing-tree performs an ad-hoc decomposition of a signal based on its fluctuations, and thus represents a natural tool for the multifractal analysis of time series. The estimation of the Hausdorff spectrum happens in the context of a multifractal formalism, where the spectrum is obtained from a transform of a partition function. In this contribution, we introduce a new crossing-tree partition function, which differs from the original one presented in [2]. We show numerically that the new partition function improves the stability of the estimation in many cases, compared with the original crossing-tree partition function. Estimation is further compared with state-of-the-art techniques, including wavelet and wavelet leaders. © 2015 EURASIP.","adaptative decomposition; crossing tree; H-sssi processes; multi-fractal formalism; wavelets","Forestry; Fractals; Time series analysis; Multi fractals; Multifractal analysis; Multifractal formalism; Partition functions; State-of-the-art techniques; Tree-partition; Wavelet leader; wavelets; Signal processing","","Institute of Electrical and Electronics Engineers Inc.","23rd European Signal Processing Conference, EUSIPCO 2015","31 August 2015 through 4 September 2015",,118897,,9780992862633,,"English","Eur. Signal Process. Conf., EUSIPCO",Conference Paper,Scopus,2-s2.0-84963940208
"Lychkina N.N., Morozova Y.A.","Agent based modeling of pension system development processes",2015,"IntelliSys 2015 - Proceedings of 2015 SAI Intelligent Systems Conference",,, 7361243,"857","862",,,10.1109/IntelliSys.2015.7361243,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962772182&doi=10.1109%2fIntelliSys.2015.7361243&partnerID=40&md5=6a987f928f3598930d07d9cc9c1426ab","Faculty of Business and Management, National Research University, Higher School of Economics, Moscow, Russian Federation","Lychkina, N.N., Faculty of Business and Management, National Research University, Higher School of Economics, Moscow, Russian Federation; Morozova, Y.A., Faculty of Business and Management, National Research University, Higher School of Economics, Moscow, Russian Federation","The article deals with the set of simulation models of the pension system of the Russian Federation designed to support government decision-making in the pension field. The set of models is realized on the basis of the composite combination of methods of system dynamics and agent-based modeling and allows you to explore the dynamics of developmental processes in complex social and economic systems, including the cyclic transitions between individual and group behavior of economic and social agents at the micro-level and the basic processes of social and economic system at the macro-level. Stratification of socio-economic system is proposed as a tool of the ontological domain modeling. The stratified description of the pension system is formed as an example. Described agent-based models of social and economic behavior of insured persons with regard to the choice of the method of forming pension and individual pension policies allows you to explore self-organizing processes at the micro-level of the pension system. © 2015 IEEE.","agent-based modeling; decision support systems for government; pension system; simulation modeling; stratificated description of model set","Artificial intelligence; Autonomous agents; Computational methods; Computer simulation; Decision making; Decision support systems; Intelligent systems; Pension plans; Agent-based model; Government decisions; Model set; Pension system; Russian federation; Self organizing process; Social and economic systems; Socio-economic systems; Software agents","Here;HPCC Systems (LexisNexis);Nvidia","Institute of Electrical and Electronics Engineers Inc.","SAI Intelligent Systems Conference, IntelliSys 2015","10 November 2015 through 11 November 2015",,118842,,9781467376068,,"English","IntelliSys - Proc. SAI Intell. Syst. Conf.",Conference Paper,Scopus,2-s2.0-84962772182
