Авторы,Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Спонсоры,Издатель,Название конференции,Дата конференции,Место проведения конференции,Код конференции,ISSN,ISBN,CODEN,Язык оригинального документа,Сокращенное название источника,Тип документа,Источник,EID
"Akopov A.S.","Designing of integrated system-dynamics models for an oil company",2012,"International Journal of Computer Applications in Technology","45","4",,"220","230",,5,10.1504/IJCAT.2012.051122,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871585490&doi=10.1504%2fIJCAT.2012.051122&partnerID=40&md5=b6b21b687cfbbd37377c572208c01d78","Faculty of Business Informatics, Business Analytics Department, National Research University Higher School of Economics, Kirpichnaya str. 33, 105679 Moscow, Russian Federation","Akopov, A.S., Faculty of Business Informatics, Business Analytics Department, National Research University Higher School of Economics, Kirpichnaya str. 33, 105679 Moscow, Russian Federation","This paper presents a new approach to designing integrated simulation models for large corporations. This approach is based on the use of system-dynamics methods for implementing models of segments of the vertically integrated company taking into account the available direct and feedback links. All models have been designed with the help of power simulation tool - Powersim Studio. In addition, the designed simulation system has been integrated with created genetic algorithm and the corporate data warehouse. Copyright © 2012 Inderscience Enterprises Ltd.","Computer modelling and simulation; Genetic optimisation algorithm; Investment activity; Powersim Studio; System dynamics; Vertically integrated oil company; VIOC","Computer modelling and simulation; Oil companies; Optimisations; System Dynamics; VIOC; Algorithms; Computer simulation; Data warehouses; Studios; Industry",,,,,,,09528091,,IJCTE,"English","Int J Comput Appl Technol",Article,Scopus,2-s2.0-84871585490
"Porzsolt F., Braubach P., Huppertz E., Mühlbacher A., Otto T., Radic D., Schmidt P., Schulze-Solce H.-N., Clouth J.","Benefit assessment of pharmaceutical products - A critical appraisal of applied methods",2012,"Gesundheitsokonomie und Qualitatsmanagement","17","6",,"283","290",,1,10.1055/s-0032-1313086,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871135787&doi=10.1055%2fs-0032-1313086&partnerID=40&md5=d0cb54be88d6b61fcc405313569c4f91","Clinical Economics, Institute for History, Theory and Ethics in Medicine, University of Ulm, Frauensteige 6, 89075 Ulm, Germany; Consultant Health Economics and Research of Outcomes, Niedererbach, Germany; Health Economics and Medical Management, University of Applied Sciences, Neubrandenburg, Germany; Health Economics, Lilly Deutschland GmbH, Bad Homburg, Germany; Services Management, University of Leipzig, Germany; State Research University, Higher School of Economics (HSE), International Laboratory for Socio-Cultural Research, Moscow, Russian Federation; Consultant Health Politics, Bad Homburg, Germany","Porzsolt, F., Clinical Economics, Institute for History, Theory and Ethics in Medicine, University of Ulm, Frauensteige 6, 89075 Ulm, Germany; Braubach, P., Clinical Economics, Institute for History, Theory and Ethics in Medicine, University of Ulm, Frauensteige 6, 89075 Ulm, Germany; Huppertz, E., Consultant Health Economics and Research of Outcomes, Niedererbach, Germany; Mühlbacher, A., Health Economics and Medical Management, University of Applied Sciences, Neubrandenburg, Germany; Otto, T., Health Economics, Lilly Deutschland GmbH, Bad Homburg, Germany; Radic, D., Services Management, University of Leipzig, Germany; Schmidt, P., State Research University, Higher School of Economics (HSE), International Laboratory for Socio-Cultural Research, Moscow, Russian Federation; Schulze-Solce, H.-N., Consultant Health Politics, Bad Homburg, Germany; Clouth, J., Health Economics, Lilly Deutschland GmbH, Bad Homburg, Germany","Scientists and politicians in all health care systems have not yet been able to agree on a uniformly accepted definition of the benefit of pharmaceutical products. Even if we cannot solve the problem we may contribute to understand it. To this end, we have compiled the methods used in various scientific disciplines to describe benefit and built a theoretical framework for these methods. The framework includes the aims, the subject matter measured, and the risks of a measurement as well as a possible sequence for the application of the methods as part of the benefit assessment. It includes six steps. Each of these steps contributes specific information to the benefit assessment. Because it is impossible to apply all of these steps and methods under real world conditions a sensible selection has to be made on which methods to consider or disregard. We assume that this selection depends on the selected objectives and the selection of objectives depends on values such as justice or utility. Consequently we propose to address as a first step the discussion about values before objectives can be defined and appropriate tools can be selected. © Georg Thieme Verlag KG Stuttgart · New York.","analytical hierarchy process; benefit; conjoint analysis; meta-analysis; structural equation model; utility","article; clinical decision making; drug manufacture; goal attainment; health care survey; health care system; health care utilization; human; information; methodology; nomenclature; quality of life; randomized controlled trial (topic); risk assessment; simulation; structural equation modeling",,,,,,,14322625,,GEQUF,"English","Gesundh.okon. Qual.manage.",Article,Scopus,2-s2.0-84871135787
"Khalili A., Auer S., Hladky D.","The RDFa content editor - From WYSIWYG to WYSIWYM",2012,"Proceedings - International Computer Software and Applications Conference",,, 6340208,"531","540",,22,10.1109/COMPSAC.2012.72,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871168944&doi=10.1109%2fCOMPSAC.2012.72&partnerID=40&md5=3fb31a6bf66dc18020f6a198a1f907c9","Institut Fiir Informatik, AKSW, Universiliil Leipzig, Leipzig, Germany; National Research University, Higher School of Economics (HSE), Moscow, Russian Federation","Khalili, A., Institut Fiir Informatik, AKSW, Universiliil Leipzig, Leipzig, Germany; Auer, S., Institut Fiir Informatik, AKSW, Universiliil Leipzig, Leipzig, Germany; Hladky, D., National Research University, Higher School of Economics (HSE), Moscow, Russian Federation","Recently practical approaches for managing and supporting the life-cycle of semantic content on the Web of Data made quite some progress. However, the currently least developed aspect of the semantic content life-cycle is the user- friendly manual and semi-automatic creation of rich semantic content. In this paper we present the RDFaCE approach for combining WYSIWYG text authoring with the creation of rich semantic annotations. Our approach is based on providing four different views to the content authors: a classical WYSIWYG view, a WYSIWYM (What You See Is What You Mean) view making the semantic annotations visible, a fact view and the respective HTML/RDFa source code view. The views are synchronized such that changes made in one of the views automatically update the others. They provide different means of semantic content authoring for the different personas involved in the content creation life-cycle. For bootstrapping the semantic annotation process we integrate five different text annotation services. We evaluate their accuracy and empirically show that a combination of them yields superior results. © 2012 IEEE.","RDFa; rNews; Semantic content authoring; Text annotation","Content creation; RDFa; rNews; Semantic annotations; Semantic content; Semi-automatics; Source codes; Text annotations; Text authoring; Web of datum; WYSIWYG; Life cycle; Semantics","IEEE;IEEE Computer Society",,"36th IEEE Annual International Computer Software and Applications Conference, COMPSAC 2012","16 July 2012 through 20 July 2012","Izmir",94244,07303157,9780769547367,PSICD,"English","Proc Int Comput Software Appl Conf",Conference Paper,Scopus,2-s2.0-84871168944
"Dworzański L.W., Lomazova I.A.","On compositionality of boundedness and liveness for nested petri nets",2012,"Fundamenta Informaticae","120","3-4",,"275","293",,8,10.3233/FI-2012-762,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870821804&doi=10.3233%2fFI-2012-762&partnerID=40&md5=5d6f51b375ff6870feeb810140f87f8c","National Research University Higher School of Economics, Moscow, 101000, Russian Federation; Program Systems Institute of the Russian Academy of Science, Pereslavl-Zalessky, 152020, Russian Federation","Dworzański, L.W., National Research University Higher School of Economics, Moscow, 101000, Russian Federation; Lomazova, I.A., Program Systems Institute of the Russian Academy of Science, Pereslavl-Zalessky, 152020, Russian Federation","Nested Petri nets (NP-nets) are Petri nets with net tokens The liveness and boundedness problems are undecidable for two-level NP-nets [14] Boundedness is in EXPSPACE and liveness is in EXPSPACE or worse for plain Petri nets [6] However, for some restricted classes, e.g for plain free-choice Petri nets, problems become more amenable to analysis There is a polynomial time algorithm to check if a free-choice Petri net is live and bounded [4] In this paper we prove, that for NP-nets boundedness can be checked in a compositional way, and define restrictions, under which liveness is also compositional These results give a base to establish boundedness and liveness for NP-nets by checking these properties for separate plain components, which can belong to tractable Petri net subclasses, or be small enough for model checking.",,"Boundedness; Compositionality; Free-choice Petri nets; Liveness; Polynomial-time algorithms; Model checking; Polynomial approximation; Petri nets",,,,,,,01692968,,FUINE,"English","Fundam Inf",Conference Paper,Scopus,2-s2.0-84870821804
"Bashkin V.A., Lomazova I.A.","Cellular resource-driven automata",2012,"Fundamenta Informaticae","120","3-4",,"243","257",,3,10.3233/FI-2012-760,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870840180&doi=10.3233%2fFI-2012-760&partnerID=40&md5=d3bc4428487d1d2dd090050239f26a61","Yaroslavl State University, Yaroslavl, 150000, Russian Federation; National Research University Higher School of Economics, Moscow, 101000, Russian Federation; Program Systems Institute of the Russian Academy of Science, Pereslavl-Zalessky, 152020, Russian Federation","Bashkin, V.A., Yaroslavl State University, Yaroslavl, 150000, Russian Federation; Lomazova, I.A., National Research University Higher School of Economics, Moscow, 101000, Russian Federation, Program Systems Institute of the Russian Academy of Science, Pereslavl-Zalessky, 152020, Russian Federation","Resource-driven automata (RDA) are finite automata, sitting in the nodes of a finite system net and asynchronously consuming/producing shared resources through input/output system ports (arcs of the system net) RDAs themselves may be resources for each other, thus allowing the highly flexible structure of the model It was proved earlier, that RDA-nets are expressively equivalent to Petri nets [2] In this paper the new formalism of cellular RDAs is introduced Cellular RDAs are RDA-nets with an infinite regularly structured system net We build a hierarchy of cellular RDA classes on the basis of restrictions on the underlying grid The expressive power of several major classes of 1-dimensional grids is studied.","cellular nets; mobile agents; multi-agent systems; Petri nets; Resource-Driven Automata","cellular nets; Expressive power; Finite systems; Input/output; Multi agent system (MAS); Resource-Driven Automata; Shared resources; Structured systems; System net; Equivalence classes; Flexible structures; Mobile agents; Multi agent systems; Petri nets; Automata theory",,,,,,,01692968,,FUINE,"English","Fundam Inf",Conference Paper,Scopus,2-s2.0-84870840180
"Osipov D.","Upper bounds for a coded DHA FH OFDMA system with noncoherent threshold reception",2012,"Proceedings - 2012 13th International Symposium on Problems of Redundancy in Information and Control Systems, RED 2012",,, 6338407,"53","56",,,10.1109/RED.2012.6338407,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870578478&doi=10.1109%2fRED.2012.6338407&partnerID=40&md5=f833d0ed46361a41078c8ff635076820","Institute for Information Transmission Problems, Russian Academy of Sciences, National Research University Higher School of Economics, Moscow, Russian Federation","Osipov, D., Institute for Information Transmission Problems, Russian Academy of Sciences, National Research University Higher School of Economics, Moscow, Russian Federation","In what follows the problem of finding upper bounds on denial probability and probability of erroneous decoding in a coded Dynamic Hopset Allocation Frequency Hopping system with noncoherent threshold reception is considered. © 2012 IEEE.","coded Dynamic Hopset Allocation Frequency Hopping system; noncoherent threshold reception; q-ary code; upper bounds","Frequency hopping systems; Non-coherent; OFDMA systems; Q-ary codes; Upper Bound; Control systems; Frequency hopping; Redundancy; Frequency division multiple access",,,"2012 13th International Symposium on Problems of Redundancy in Information and Control Systems, RED 2012","5 September 2012 through 10 September 2012","St. Petersburg",94233,,9781467301701,,"English","Proc. - Int. Symp. Probl. Redundancy Inf. Control Syst., RED",Conference Paper,Scopus,2-s2.0-84870578478
"Mamontov A.V., Nefedov V.N., Tuv A.L., Yazykov D.A.","An investigation of the possibility of melting basalt using microwave energy",2012,"Measurement Techniques",,,,"1","3",,1,10.1007/s11018-012-0076-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870202879&doi=10.1007%2fs11018-012-0076-y&partnerID=40&md5=ec39a6ebfb75fbc37ba38f3e299525e2","Moscow State Institute of Electronics and Mathematics (MIEM), Moscow, Russian Federation","Mamontov, A.V., Moscow State Institute of Electronics and Mathematics (MIEM), Moscow, Russian Federation; Nefedov, V.N., Moscow State Institute of Electronics and Mathematics (MIEM), Moscow, Russian Federation; Tuv, A.L., Moscow State Institute of Electronics and Mathematics (MIEM), Moscow, Russian Federation; Yazykov, D.A., Moscow State Institute of Electronics and Mathematics (MIEM), Moscow, Russian Federation","The results of experimental investigations of the use of microwave energy for the heat treatment of basalt are presented. Numerical results and graphs of the change in the temperature of a sample of basalt are presented. It is shown that microwave heating has a number of advantages over traditional methods of melting basalt using a combustible fuel. © 2012 Springer Science+Business Media New York.","basalt; heat treatment; heat-insulating material; melting; microwave radiation; temperature distribution; waveguide",,,,,,,,05431972,,,"English","Meas. Tech.",Article in Press,Scopus,2-s2.0-84870202879
"Budnitskii O., Rupp S.","The intelligentsia meets the enemy: Educated Soviet officers in defeated Germany, 1945",2012,"Fascination and Enmity: Russia and Germany as Entangled Histories, 1914-1945",,,,"176","227",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905876030&partnerID=40&md5=92a7cc06b6ba8a49ddbd110856ce1b2b","Center for the History and Sociology of World War II, National Research University, Higher School of Economics, United States","Budnitskii, O., Center for the History and Sociology of World War II, National Research University, Higher School of Economics, United States; Rupp, S.","MAJOR LEV KOPELEV ENTERED East Prussia on a Ford truck. Th ere were no markers, so he had to distinguish the border himself: ""It had already been agreed earlier: as soon as we crossed the border, we would mark it in an appropriate fashion. Having stopped precisely on the line according to the map, I commanded, 'Here is Germany, get out and relieve yourselves!' It seemed witty to us, standing right next to the cuvette, to mark the initial entry into enemy territory in precisely this way."". © 2012, University of Pittsburgh Press. All rights reserved.",,,,"University of Pittsburgh Press",,,,,,9780822962076,,"English","Fascination and Enmity: Russia and Ger. as Entangled Histories, 1914-1945",Book Chapter,Scopus,2-s2.0-84905876030
"Larionova M.","The European union in the G8: Promoting consensus and concerted actions for global public goods",2012,"The European Union in the G8: Promoting Consensus and Concerted Actions for Global Public Goods",,,,"1","284",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900071288&partnerID=40&md5=630374ffebcafaece80d724de0ca958d","International Organisations Research Institute (HSE IORI), National Research University - Higher School of Economics, National Training Foundation, Moscow, Russian Federation","Larionova, M., International Organisations Research Institute (HSE IORI), National Research University - Higher School of Economics, National Training Foundation, Moscow, Russian Federation","An eminent international line up of experts in law, political science, economics and history examine the dynamics of the European Union's (EU) development as a collective member of the G8 and G20. Each contribution provides a methodical and much needed insight into the external and internal factors influencing this evolvement process, the options for these institutions to reform and collaborate and the future role of the EU in this new system of institutions. Part One makes an introduction into the topic of the EU representation in the G8 and the main concepts explored in the book. Part Two presents an analytical framework for exploring the EU actorness in global governance institutions. Part Three examines the transformation of the G7/G8 system, the emergence of the G20 as a leader's forum and the EU role in the process. Part Four provides an in-depth analysis of the EU contribution to critical cases of global governance including issues of energy, finance, development, peace and security. Part Five analyses the main trends in leadership and models of engagement. Contributing to key contemporary debates, this book is a lucid replenishment to the existing literature on global governance and an excellent resource to studying the EU's role as a global actor. © Marina Larionova 2012. All rights reserved.",,,,"Ashgate Publishing Ltd",,,,,,9781409433231,,"English","The European Union in the G8: Promoting Consens. and Concerted Actions for Global Public Goods",Book,Scopus,2-s2.0-84900071288
"Zaytseva A.","Vietnam in XXI century: Institutional development of S&T and innovation policy",2012,"Foresight Russia","6","2",,"44","55",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886734802&partnerID=40&md5=1e625c2460a60c7cedaf28b0d5a6a2cd","Research Laboratory for Science and Technology Studies, Institute for Statistical Studies and Economics of Knowledge, National Research University Higher School of Economics, 20 Myasnitskaya str., Moscow, 101000, Russian Federation","Zaytseva, A., Research Laboratory for Science and Technology Studies, Institute for Statistical Studies and Economics of Knowledge, National Research University Higher School of Economics, 20 Myasnitskaya str., Moscow, 101000, Russian Federation","Since the beginning of 1990s the Vietnamese economy has been undergone structural changes that until recently have resulted in fast modernization and GDP growth. Recognizing the need to point economic development towards innovation, the government has undertaken institutional reform. This paper assesses the evolution of science, technology and innovation policy for the last decade in Vietnam, with emphasis on the coherence and efficiency of policy instruments. The study shows that despite major steps forward in the formation of a legislative and institutional framework for the national innovation system, there are factors working against it. The mixed character of the Vietnamese economy (combining market institutions with tight public regulation and a significant share of public property) fostered by inconsistent and ineffective policies, discourages the innovation environment and synergy of reforms. There is also a huge gap between policy and implementation. Another factor is difficulties with setting strategic goals and defining policy priorities: policy tasks are overwhelming in number, but also there is overlap. There is no interdepartmental agency able to provide horizontal and vertical co-ordination of governmental initiatives. The bias towards fostering «technology push» as well as preserving dominance of state actors in science and industry is the most important inconsistency; «market pull» based tools remain underdeveloped. A new set of measures envisaged by the Strategy of Scientific, Technological and Innovation Development for 2011-2020 provides some opportunity for new policies. The government will need to revise the framework conditions restricting the development of competition, introduce demand-driven and inclusive development oriented tools as well as develop targeted and complementary regulation. Qualitative improvement of institutions requires introducin competitiveness where now economic elites dominate, and this, again, forces into the open the tension between economic pluralism and political monopoly.","National innovation system; Policy mix; S&T and innovation policy institutes; Transitional economy; Vietnam",,,,,,,,1995459X,,,"Russian","Foresight Russ.",Article,Scopus,2-s2.0-84886734802
